0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.47,0.27,0.0,0.12,0.11,0.0,0.03
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.42,0.25,0.0,0.25,0.0,0.03,0.05
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.25,0.0,0.19,0.06,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.25,0.0,0.15,0.1,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.23,0.0,0.1,0.17,0.0,0.0
0.5,0.21,0.0,0.06,0.23,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.452,0.258,0.0,0.17,0.07,0.02,0.03
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.39,0.25,0.09,0.25,0.0,0.02,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.5,0.29,0.0,0.15,0.06,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.47,0.29,0.0,0.08,0.13,0.0,0.03
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.43,0.25,0.0,0.19,0.06,0.02,0.05
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.42,0.25,0.0,0.25,0.0,0.03,0.05
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.27,0.0,0.15,0.08,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.43200000000000005,0.248,0.0,0.25,0.0,0.03,0.04
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.24,0.0,0.2,0.06,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.47,0.3,0.0,0.1,0.1,0.0,0.03
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.43,0.25,0.0,0.19,0.06,0.02,0.05
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.17,0.06,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.47,0.3,0.0,0.11,0.09,0.0,0.03
0.5,0.25,0.0,0.15,0.1,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.5,0.27,0.0,0.17,0.06,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.47,0.28,0.0,0.16,0.06,0.0,0.03
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.31,0.0,0.13,0.06,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.41,0.24,0.09,0.19,0.07,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.31,0.0,0.05,0.14,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.42,0.24,0.05,0.18,0.08,0.0,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.41,0.24,0.09,0.19,0.07,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.3,0.0,0.09,0.11,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.47,0.27,0.0,0.12,0.11,0.0,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.43200000000000005,0.248,0.0,0.25,0.0,0.03,0.04
0.5,0.29,0.0,0.11,0.1,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.5,0.27,0.0,0.12,0.11,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.48,0.29,0.0,0.12,0.09,0.0,0.02
0.5,0.21,0.0,0.06,0.23,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.47,0.3,0.0,0.11,0.09,0.0,0.03
0.5,0.23,0.0,0.09,0.18,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.26,0.0,0.18,0.06,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.43,0.25,0.0,0.19,0.06,0.02,0.05
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.42,0.23,0.05,0.14,0.13,0.0,0.03
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.44,0.26,0.0,0.17,0.07,0.02,0.04
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.45,0.26,0.05,0.24,0.0,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.1,0.09,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.47,0.29,0.0,0.09,0.12,0.0,0.03
0.5,0.29,0.0,0.11,0.1,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.46,0.28,0.0,0.22,0.0,0.02,0.02
0.41,0.24,0.09,0.19,0.07,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.29,0.0,0.15,0.06,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.17,0.06,0.0,0.0
0.45,0.27,0.0,0.23,0.0,0.02,0.03
0.37,0.2,0.05,0.25,0.05,0.04,0.04
0.5,0.3,0.0,0.12,0.08,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.21,0.0,0.06,0.23,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.39,0.25,0.05,0.25,0.0,0.01,0.05
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.5,0.23,0.0,0.1,0.17,0.0,0.0
0.392,0.248,0.05,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.39,0.25,0.05,0.25,0.0,0.01,0.05
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.392,0.248,0.05,0.25,0.0,0.01,0.05
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.43,0.25,0.0,0.19,0.06,0.02,0.05
0.5,0.29,0.0,0.15,0.06,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.38,0.21,0.12,0.07,0.22,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.47,0.3,0.0,0.11,0.09,0.0,0.03
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.12,0.11,0.0,0.0
0.5,0.25,0.0,0.15,0.1,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.22,0.0,0.15,0.13,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.43200000000000005,0.248,0.0,0.25,0.0,0.02,0.05
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.44,0.26,0.0,0.17,0.07,0.02,0.04
0.5,0.27,0.0,0.17,0.06,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.38,0.2,0.06,0.25,0.05,0.02,0.04
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.46,0.28,0.0,0.22,0.0,0.02,0.02
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.02,0.03
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.47,0.27,0.0,0.12,0.11,0.0,0.03
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.3,0.0,0.09,0.11,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.452,0.258,0.0,0.17,0.07,0.02,0.03
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.47,0.29,0.0,0.09,0.12,0.0,0.03
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.31,0.0,0.09,0.1,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.15,0.06,0.0,0.0
0.47,0.3,0.0,0.11,0.09,0.0,0.03
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.46,0.28,0.0,0.22,0.0,0.02,0.02
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.22,0.0,0.22,0.06,0.0,0.0
0.45,0.27,0.0,0.23,0.0,0.02,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.37,0.2,0.11,0.06,0.24,0.02,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.25,0.0,0.17,0.08,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.452,0.258,0.0,0.17,0.07,0.02,0.03
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.31,0.0,0.09,0.1,0.0,0.0
0.45,0.26,0.0,0.19,0.05,0.03,0.02
0.452,0.258,0.0,0.17,0.07,0.02,0.03
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.452,0.258,0.0,0.17,0.07,0.02,0.03
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.13,0.06,0.0,0.0
0.38,0.25,0.06,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.37,0.2,0.11,0.05,0.25,0.02,0.0
0.47,0.3,0.0,0.12,0.08,0.0,0.03
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.43200000000000005,0.248,0.0,0.25,0.0,0.03,0.04
0.5,0.23,0.0,0.1,0.17,0.0,0.0
0.382,0.248,0.07,0.25,0.0,0.01,0.04
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.25,0.0,0.15,0.1,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.3,0.0,0.12,0.08,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.48,0.29,0.0,0.12,0.09,0.0,0.02
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.31,0.0,0.09,0.1,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.27,0.0,0.17,0.06,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.41,0.24,0.09,0.19,0.07,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.47,0.3,0.0,0.11,0.09,0.0,0.03
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.21,0.0,0.06,0.23,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.47,0.3,0.0,0.12,0.08,0.0,0.03
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.31,0.0,0.13,0.06,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.41,0.24,0.05,0.16,0.1,0.01,0.03
0.38,0.21,0.12,0.07,0.22,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.41,0.24,0.09,0.19,0.07,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.31,0.0,0.12,0.07,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.05,0.14,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.47,0.27,0.0,0.13,0.1,0.0,0.03
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.21,0.0,0.06,0.23,0.0,0.0
0.5,0.25,0.0,0.15,0.1,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.5,0.29,0.0,0.11,0.1,0.0,0.0
0.452,0.258,0.0,0.19,0.05,0.02,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.46,0.28,0.0,0.22,0.0,0.02,0.02
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.31,0.0,0.05,0.14,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.5,0.25,0.0,0.15,0.1,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.42,0.23,0.05,0.14,0.13,0.0,0.03
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.47,0.27,0.0,0.12,0.11,0.0,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.43,0.25,0.0,0.19,0.06,0.02,0.05
0.47,0.27,0.0,0.12,0.11,0.0,0.03
0.42,0.25,0.0,0.25,0.0,0.03,0.05
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.452,0.258,0.0,0.17,0.07,0.02,0.03
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.21,0.0,0.06,0.23,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.46,0.28,0.0,0.22,0.0,0.02,0.02
0.5,0.31,0.0,0.09,0.1,0.0,0.0
0.49,0.25,0.0,0.25,0.0,0.0,0.01
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.39399999999999996,0.24600000000000002,0.05,0.25,0.0,0.01,0.05
0.382,0.248,0.06,0.25,0.0,0.01,0.05
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.46,0.28,0.0,0.22,0.0,0.02,0.02
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.27,0.0,0.14,0.09,0.0,0.0
0.5,0.25,0.0,0.17,0.08,0.0,0.0
0.5,0.3,0.0,0.1,0.1,0.0,0.0
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.13,0.08,0.0,0.0
0.5,0.29,0.0,0.11,0.1,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.29,0.0,0.11,0.1,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.41,0.25,0.09,0.25,0.0,0.0,0.0
0.452,0.258,0.0,0.17,0.07,0.02,0.03
0.5,0.29,0.0,0.16,0.05,0.0,0.0
0.46,0.28,0.0,0.22,0.0,0.02,0.02
0.5,0.29,0.0,0.14,0.07,0.0,0.0
0.5,0.25,0.0,0.17,0.08,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.31,0.0,0.08,0.11,0.0,0.0
0.5,0.27,0.0,0.18,0.05,0.0,0.0
0.5,0.27,0.0,0.13,0.1,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.23,0.0,0.05,0.22,0.0,0.0
0.5,0.25,0.0,0.17,0.08,0.0,0.0
0.44,0.25,0.0,0.2,0.05,0.03,0.03
0.5,0.23,0.0,0.1,0.17,0.0,0.0
0.5,0.27,0.0,0.15,0.08,0.0,0.0
0.5,0.25,0.0,0.18,0.07,0.0,0.0
0.382,0.248,0.06,0.25,0.0,0.01,0.05
